Zipcode	Income
10803	140000
14527	47697
14530	48153
14129	50417
12972	66260
14532	52500
13673	48984
12565	43750
12464	49911
13135	53919
10968	91343
14533	56058
12566	80548
12465	50833
12567	63244
14872	34258
14534	106113
13802	58854
11803	120955
13431	57279
11411	83099
14083	
12903	51681
12901	43010
12903	51681
12901	43010
12569	76517
10570	123778
13675	
12140	80083
13431	57279
10970	74397
14083	
14422	64286
10918	87114
14083	
12466	59873
12974	34492
12093	56563
11776	84733
12771	42797
13433	35577
14770	50816
11050	105828
11050	105828
13676	43415
12860	46500
12603	80250
12601	42411
14873	48897
12468	41696
12046	75263
13142	47453
12815	52083
14772	43494
14131	57500
12143	57371
13143	46034
12978	73571
12571	69091
11004	81709
13679	49861
13438	54514
13438	54514
12144	63449
12144	63449
12572	72551
13439	43750
12149	49357
13681	41000
11961	54312
14775	40769
11901	51350
11379	69843
11961	54312
10918	87114
12775	81274
11570	104503
11778	85893
13682	71250
13440	49755
13441	
14541	59740
11779	87081
11575	66922
12776	51429
14039	44583
11576	150161
11576	150161
11576	150161
11577	112552
12150	76151
12151	73304
12979	60139
14543	86875
14543	86875
10580	153640
10580	153640
13685	62586
14083	
12863	63229
11963	85583
14083	
14779	31537
12865	53250
13454	38688
12577	92167
13302	39896
12578	92375
14132	59286
11961	54312
14712	57931
13145	42692
12981	55923
12866	67979
12477	60862
12477	60862
13303	60000
14414	63083
11782	108594
14039	44583
12154	67721
12309	87374
12302	66021
12303	61267
12306	58869
12304	43743
12155	45938
12157	60560
12870	53616
12871	61301
14880	42130
12726	58208
14546	57295
14545	58750
14546	57295
11579	100250
11783	104523
14425	58496
11784	88104
13148	45591
11733	141233
13459	45800
13460	44078
14781	48452
13461	58500
10507	70557
11967	82557
12481	54362
11786	130800
14548	62031
10588	71686
13838	38482
14136	43914
14550	62951
14782	44926
13152	86378
14083	
12160	56923
10974	87241
11787	107477
13841	33750
13464	53854
14551	47239
14551	47239
14083	
11789	79764
12837	42721
14830	51902
14041	40000
12779	41840
14039	44583
11001	101634
11005	64300
12803	58083
11550	53669
12448	61310
14846	42198
14094	49849
10960	78750
11971	90294
11581	98113
11580	88771
10976	40675
12164	57083
14883	48929
14883	48929
13439	43750
10977	60549
14141	51310
14560	56858
12580	77394
12167	49605
13690	43167
14083	
12170	70377
12484	84241
11790	138036
11790	138036
10980	94709
14145	56938
10901	85147
11706	75775
13126	48062
11791	139565
13215	77905
13214	62386
13219	59945
13224	54196
13212	51997
12485	41591
10983	126875
10591	80814
14740	49345
13691	51851
10984	112016
10594	114286
13693	50250
12883	42083
12486	72135
11782	108594
12583	53036
14150	51852
14150	51852
12183	52292
12180	47640
12182	45251
14886	62900
10707	94897
10707	94897
13159	71893
12986	55221
13473	48750
13026	71359
10987	100369
13849	42861
11553	75008
11556	
13160	63167
14221	75189
14226	60545
14224	57375
14223	57076
14222	52073
14083	
10960	78750
13502	38290
13501	31519
12184	78247
10989	100982
12185	73684
11581	98113
11580	88771
14889	50000
13476	48224
13478	68690
14564	76231
14564	76231
12083	49375
13756	45089
12186	83846
13694	59926
11792	119137
14004	56163
12589	77500
11793	113277
12590	78573
12885	49533
14569	42313
10990	84110
11577	112552
10992	91083
12188	66211
13165	45779
11976	160536
13601	42296
13603	41430
13480	48512
12189	47263
14891	44448
14892	49623
14572	42660
14580	69189
14580	69189
13166	55531
12190	40208
12190	40208
12190	40208
10507	70557
11704	80377
11706	75775
11590	87894
13619	45888
12992	52888
14905	59159
14903	45000
14904	36250
14901	28844
14925	
14787	42455
12801	45538
11977	96648
11978	80066
12837	42721
10927	55556
11552	98798
12491	61667
11795	104923
14580	69189
13490	80841
10994	129519
10996	98555
12993	44000
12196	92521
11796	96071
13483	40147
14171	43793
13491	52888
10607	132857
10605	108047
10603	91903
10606	68368
10601	67754
13492	62543
13862	50036
14589	55558
14083	
11596	112596
12996	43198
12997	53158
14172	58750
12496	50536
13865	51236
13697	42143
12998	34256
11797	150920
11797	150920
11598	140917
11961	54312
14083	
12498	65676
11782	108594
12197	50897
12790	50393
11798	65000
12198	82188
14591	62768
11980	84972
10710	76526
10704	67091
10703	57116
10705	47358
10701	43767
10598	106576
